标题,链接,详情,发布时间,浏览量,图片链接
2019第二届中国“AI+”创新创业大赛--5G+AI技术创新大赛,http://www.52jingsai.com/article-9359-1.html,报名日期：2019年9月15日--2019年10月15日||2019第二届中国“AI+”创新创业大赛--5G+AI技术创新大赛（以下简称“大赛”）将于2019年9月至11月举行。,2019-9-2611:58, 2250,http://www.52jingsai.com/data/attachment/portal/201909/26/115829b7886ift60fpfi8h.png.thumb.jpg
中国智能机器人大赛暨第二十一届中国机器人及人工智能大赛,http://www.52jingsai.com/article-9305-1.html,报名截止时间：2019年9月30日||为引导和激励广大青年学生弘扬创新精神，搭建良好的科技创新赛事平台,2019-9-1914:45, 5244,http://www.52jingsai.com/data/attachment/portal/201909/19/144406zfkmyms4l7xfmesz.jpg.thumb.jpg
2019首届中国工业互联网大赛,http://www.52jingsai.com/article-9255-1.html,报名阶段：2019年9月-10月中下旬||为贯彻《国务院关于深化“互联网+先进制造业”发展工业互联网的指导意见》等系列文件精神，推进工业互联网创新发展应用,2019-9-1513:57, 8257,http://www.52jingsai.com/data/attachment/portal/201909/15/135548iy3g1jvxj0viiz32.jpg.thumb.jpg
2019年全国高校程序设计挑战赛（C、C++、Java、Python）,http://www.52jingsai.com/article-9241-1.html,主办单位：全国高等学校计算机教育研究会||报名截止日期：2019年11月15日||比赛形式：线上比赛||大赛官网：http://www.ncccu.org.cn/case4.html一、大赛前言为贯彻落实习近平主席在十九大报告中关于“...,2019-9-1122:38, 27045,http://www.52jingsai.com/data/attachment/portal/201909/11/222553bx4p5cjf5ppxxp8n.jpg.thumb.jpg
2019年全国高校人工智能算法挑战赛,http://www.52jingsai.com/article-9243-1.html,大赛名称：2019年全国高校人工智能算法挑战赛主办单位：全国高等学校计算机教育研究会报名截止日期：2019年11月15日大赛官网：http://www.ncccu.org.cn/case2.html一、大赛前言为贯彻落实习近平主席在十九大报告中关...,2019-9-1122:37, 3219,http://www.52jingsai.com/data/attachment/portal/201909/11/223714h44ngys24yw52wxi.jpg.thumb.jpg
2019年全国高校大数据算法挑战赛,http://www.52jingsai.com/article-9242-1.html,大赛名称：2019年全国高校大数据算法挑战赛主办单位：全国高等学校计算机教育研究会报名截止日期：2019年11月15日大赛官网：http://www.ncccu.org.cn/case1.html一、大赛前言为贯彻落实习近平主席在十九大报告中关于...,2019-9-1122:31, 3166,http://www.52jingsai.com/data/attachment/portal/201909/11/223119h9l6jd15n888s601.jpg.thumb.jpg
科大讯飞 iFLYTEK A.I.开发者大赛重磅启动,http://www.52jingsai.com/article-8459-1.html,初赛报名及作品提交时间：6月21日-8月21日||“iFLYTEKA.I.开发者大赛”是由科大讯飞发起的顶尖人工智能竞赛平台。汇聚产学研各界力量，面向全球开发者发起数据算法及创新应用类挑战，推动人工智能前沿科学研究和...,2019-7-1617:11, 4713,http://www.52jingsai.com/data/attachment/portal/201907/17/091526nqxnixjmaijammnn.jpg.thumb.jpg
中国科技云“开源科学软件创意大赛”启动,http://www.52jingsai.com/article-8253-1.html,报名时间：2019年5—7月||主办单位：“中国科技云”科学软件开源社区||我国科学计算科研领域，长期以来依赖国外商业软件，对科研信息化的发展带来较大的阻碍。开源软件的开放性特点非常符合科研领域的软件需求，...,2019-6-2411:36, 3017,http://www.52jingsai.com/data/attachment/portal/201906/24/113313nogvxexydbpco2gy.jpg.thumb.jpg
2019中国（天津）工业APP创新应用大赛,http://www.52jingsai.com/article-8046-1.html,报名及作品提交：2019年5月17日-7月30日||为贯彻落实《国务院关于深化“互联网+先进制造业”发展工业互联网的指导意见》，按照工业信息化部《工业互联网APP培育工程方案（2018-2020年）》有关要求，完成2020年培育...,2019-5-2115:59, 3507,http://www.52jingsai.com/data/attachment/portal/201905/21/155830otbp61hb66x1kkrb.png.thumb.jpg
上汽大通2019软件挑战赛,http://www.52jingsai.com/article-7921-1.html,大赛由上汽大通汽车有限公司主办，旨在提高广大学生的创新能力，通过业务模式和商业模式的变革，培养和发掘一批创造力人才，从而促进整个汽车行业的智能化发展。,2019-5-715:09, 4004,http://www.52jingsai.com/data/attachment/portal/201905/07/150919ho9ynz4w957wyypp.png.thumb.jpg
2019年全国大学生物联网设计竞赛,http://www.52jingsai.com/article-7699-1.html,报名截止日期：2019年4月30日||全国大学生物联网设计竞赛（以下简称“竞赛”）是以学科竞赛推动专业建设、培养大学生创新能力为目标，面向全国高校大学生举办的全国性竞赛。2019年竞赛以物联网行业项目和创新...,2019-4-1216:23, 15777,http://www.52jingsai.com/data/attachment/portal/201904/12/162142xszpg89kcky88kxm.png.thumb.jpg
2019“中科芯杯”大学生物联网应用设计邀请赛,http://www.52jingsai.com/article-7661-1.html,报名时间：3月29日—4月30日||国内高校在校本科生、研究生可报名参赛，重点面向电子类、通信类、计算机类、自动化类、电气类、仪器类等相关专业。具体竞赛子题包括智慧农业，智慧消防，智慧景区、园区，智能家居，...,2019-4-514:25, 2222,http://www.52jingsai.com/data/attachment/portal/201904/05/142120c22eirxmzq28m84i.png.thumb.jpg
中国高校计算机网络技术挑战赛,http://www.52jingsai.com/article-7522-1.html,报名截止时间：2019年5月5日||中国高校计算机大赛(ChinaCollegiateComputingContest，简称C4)由教育部高等学校计算机类专业教学指导委员会、教育部高等学校软件工程专业教学指导委员会、教育部高等学校大学计算...,2019-3-1814:36, 10120,http://www.52jingsai.com/data/attachment/portal/201903/18/143536u0ll0maos33dsoz3.png.thumb.jpg
2019年华为软件精英挑战赛,http://www.52jingsai.com/article-7432-1.html,报名时间：2019年3月8日至3月29日||华为软件精英挑战赛事华为公司面向在校大学生举办的大型软件竞赛，2015年至今，已成功举办四届,2019-3-815:49, 14046,http://www.52jingsai.com/data/attachment/portal/201903/08/154321qfmcysgtt9wt57f5.png.thumb.jpg
2019华为网络精英挑战赛,http://www.52jingsai.com/article-7430-1.html,报名时间：3月8日—4月7日||华为网络精英挑战赛是华为公司面向全国高校学生举办的大型技术竞赛，致力于让参赛学生感受网络技术改变世界的魅力，享受架构设计和数据分析的乐趣，锻炼学生与人沟通和团队协作能力。,2019-3-815:43, 15528,http://www.52jingsai.com/data/attachment/portal/201903/08/153927ntcfz7rdxrkxbr99.jpg.thumb.jpg
2019年（第12届）中国大学生计算机设计大赛,http://www.52jingsai.com/article-7081-1.html,决赛开始时间：2019年7月17日（各校级初赛时间请详询教务处）||根据全国教育大会精神，全面振兴本科教育，是当前一个时期高等学校面临的主要任务。为了全面提高本科教学质量，切实提高计算机基础教学水平，激励大...,2019-3-714:41, 80151,http://www.52jingsai.com/data/attachment/portal/201902/21/144405tvdxq2yhuvr6u2hy.png.thumb.jpg
第三届国产CPU并行应用挑战赛,http://www.52jingsai.com/article-6861-1.html,"参赛报名时间：2019年3月--6月20日||国产CPU并行应用挑战赛(简称CPC),英文全称""ChinaParallelapplicationChallengeondomesticCPU"",旨在更好地利用自主可控国产CPU在高性能计算领域的性能优势，进一步完...",2019-1-315:23, 3554,http://www.52jingsai.com/data/attachment/portal/201901/03/154658w5p2bjyjtj83x1h5.png.thumb.jpg
10w+奖学金：大学生网络安全能力大赛,http://www.52jingsai.com/article-6737-1.html,比赛时间：2018年12月3号-2019年2月22号||大学生网络安全能力大赛，是面向国内知名网络安全专业院校学生及爱好互联网安全的青年展开的奖学金大赛。旨在提升高校IT人才对网络安全的重视度，吸引更多的优秀人才进入...,2018-12-1014:39, 11835,http://www.52jingsai.com/data/attachment/portal/201812/10/143435c5grukbxkkib7vr9.jpg.thumb.jpg
2018年全国大学生C语言设计大赛,http://www.52jingsai.com/article-6292-1.html,大赛名称：2018年全国大学生C语言设计大赛（全国大学生计算机技能应用大赛专项赛）报名截止时间：2018年11月15日一、大赛背景为贯彻习近平主席在十九大报告中关于“推动互联网、大数据、人工智能和实体经济深度融合...,2018-9-2910:29, 81946,http://www.52jingsai.com/data/attachment/portal/201809/26/172923fgn95n5bn9ib7n8i.jpg.thumb.jpg
2018年全国大学生办公软件高级应用大赛（Word、Excel、Powerpoint）,http://www.52jingsai.com/article-6291-1.html,大赛主题：2018年全国大学生办公软件高级应用大赛（Word、Excel、Powerpoint）报名截止时间：2018年11月15日一、大赛背景为贯彻习近平主席在十九大报告中关于“推动互联网、大数据、人工智能和实体经济深度融合”...,2018-9-2617:10, 51861,http://www.52jingsai.com/data/attachment/portal/201809/26/171005ff9jdswddymiwimp.jpg.thumb.jpg
【福利多多】2018年全国大学生计算机技能应用大赛征集承办单位,http://www.52jingsai.com/article-6246-1.html,征集单位：中国软件行业协会培训中心、全国大学生计算机技能应用大赛组委会征集时间：2018年9月10日—10月31日征集对象：全国高校计算机院系、团委、学生会、计算机类社团组织征集目标：100个2018年全国大学生计算机...,2018-9-1912:03, 8964,http://www.52jingsai.com/data/attachment/portal/201809/19/120252krra4ac6dane6n46.png.thumb.jpg
2018年全国大学生计算机技能应用大赛,http://www.52jingsai.com/article-6216-1.html,报名截止日期：2018年11月15日||大赛科目：大数据算法赛，办公软件应用（Word、Excel、Powerpoint），高级语言程序，数据库||一、大赛背景为贯彻习近平主席在十九大报告中关于“推动互联网、大数据、人工智能和...,2018-9-1710:08, 207405,http://www.52jingsai.com/data/attachment/portal/201809/17/100756tl28uul5kbwjlkwq.png.thumb.jpg
"一张HPC China2018通行票,助你仗剑走天涯",http://www.52jingsai.com/article-6206-1.html,报到时间：2018年10月17日||HPCChina全国高性能计算学术年会，是中国高性能计算领域一年一度融合学术、技术、产业为一体的学术界、企业界规模最大、最富影响力的专业学术盛会！凡2018年9月20日24:00前，成功注册...,2018-9-1414:34, 3666,http://www.52jingsai.com/data/attachment/portal/201809/14/155032ieu21poigoqogz5o.jpg.thumb.jpg
