豆瓣排名,电影名,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,豆瓣评分,评价人数,星星数,五星比例,四星比例,三星比例,二星比例,一星比例
,,,,,,,,,,,,,,,,
1,['肖申克的救赎 The Shawshank Redemption'],"['弗兰克·德拉邦特', '斯蒂芬·金']","['蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿']","['剧情', '犯罪']",[' 美国'],[' 英语'],"['1994-09-10(多伦多电影节)', '1994-10-14(美国)']",['142分钟'],['9.6'],['1409328'],['50'],['84.3%'],['14.0%'],['1.5%'],['0.1%'],['0.1%']
,,,,,,,,,,,,,,,,
2,['霸王别姬'],"['芦苇', '李碧华']","['张国荣', '张丰毅', '巩俐']","['剧情', '爱情', '同性']",[' 中国大陆 / 香港'],[' 汉语普通话'],['1993-01-01(香港)'],['171 分钟'],['9.6'],['1043910'],['50'],['81.4%'],['16.1%'],['2.2%'],['0.2%'],['0.1%']
,,,,,,,,,,,,,,,,
3,['这个杀手不太冷 Léon'],['吕克·贝松'],"['让·雷诺', '娜塔莉·波特曼', '加里·奥德曼']","['剧情', '动作', '犯罪']",[' 法国'],[' 英语 / 意大利语 / 法语'],['1994-09-14(法国)'],['110分钟(剧场版)'],['9.4'],['1287002'],['45'],['74.1%'],['22.4%'],['3.2%'],['0.2%'],['0.1%']
,,,,,,,,,,,,,,,,
4,['阿甘正传 Forrest Gump'],"['艾瑞克·罗斯', '温斯顿·格鲁姆']","['汤姆·汉克斯', '罗宾·怀特', '加里·西尼斯']","['剧情', '爱情']",[' 美国'],[' 英语'],"['1994-06-23(洛杉矶首映)', '1994-07-06(美国)']",['142分钟'],['9.4'],['1109932'],['45'],['75.7%'],['21.0%'],['3.0%'],['0.2%'],['0.1%']
,,,,,,,,,,,,,,,,
5,['美丽人生 La vita è bella'],"['温琴佐·切拉米', '罗伯托·贝尼尼']","['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼']","['剧情', '喜剧', '爱情', '战争']",[' 意大利'],[' 意大利语 / 德语 / 英语'],['1997-12-20(意大利)'],['116分钟'],['9.5'],['649823'],['50'],['79.5%'],['17.8%'],['2.4%'],['0.2%'],['0.1%']
,,,,,,,,,,,,,,,,
6,['泰坦尼克号 Titanic'],['詹姆斯·卡梅隆'],"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩']","['剧情', '爱情', '灾难']",[' 美国'],[' 英语 / 意大利语 / 德语 / 俄语'],"['1998-04-03(中国大陆)', '1997-11-01(东京电影节)', '1997-12-19(美国)']",['194分钟'],['9.3'],['1050570'],['45'],['72.1%'],['23.3%'],['4.2%'],['0.2%'],['0.1%']
,,,,,,,,,,,,,,,,
