姓名,作者,图片,简介
Beginning Azure IoT Edge Computing,David Jensen,http://www.allitebooks.com/wp-content/uploads/2019/04/Beginning-Azure-IoT-Edge-Computing.jpg,Use a step-by-step process to create and deploy your first Azure IoT Edge solution. Modern day developers and architects in today’s cloud-focused world must understand when it makes sense to leverage the cloud. Computing on the edge is a new paradigm for most people. The Azure IoT Edge…
AWS for Developers For Dummies,John Paul Mueller,http://www.allitebooks.com/wp-content/uploads/2019/04/AWS-for-Developers-For-Dummies.jpg,Everything you need to get running with IaaS for Amazon Web Services Modern businesses rely on Infrastructure-as-a-Service (IaaS)—a setup in which someone else foots the bill to create application environments—and developers are expected to know how to write both platform-specific and IaaS-supported applications. If you’re a developer who…
Build Your Own IoT Platform,Anand Tamboli,http://www.allitebooks.com/wp-content/uploads/2019/04/Build-Your-Own-IoT-Platform.jpg,“One of the best IOT Development books of all time” – BookAuthority Discover how every solution in some way related to the IoT needs a platform and how to create that platform. This book is about being agile and reducing time to market without breaking the bank. It is…
"CompTIA A+ Complete Study Guide, 4th Edition",Jon Buhagiar,http://www.allitebooks.com/wp-content/uploads/2019/04/CompTIA-A-Complete-Study-Guide-4th-Edition.jpg,"The definitive Sybex guide to A+ certification, fully updated for the latest exams The CompTIA A+ Complete Study Guide, Fourth Edition is your ultimate preparation guide for Exams 220-1001 and 220-1002. Covering 100 percent of the objectives for both exams, this book gets you up to speed on essential A+…"
"Practical Haskell, 2nd Edition",Quentin Docter,http://www.allitebooks.com/wp-content/uploads/2019/04/Practical-Haskell-2nd-Edition.jpg,"Get a practical, hands-on introduction to the Haskell language, its libraries and environment, and to the functional programming paradigm that is fast growing in importance in the software industry. This book contains excellent coverage of the Haskell ecosystem and supporting tools, include Cabal and Stack for managing projects, HUnit…"
Learn Computer Vision Using OpenCV,Alejandro Serrano Mena,http://www.allitebooks.com/wp-content/uploads/2019/04/Agile-Project-Management-with-Azure-DevOps1.jpg,"Build practical applications of computer vision using the OpenCV library with Python. This book discusses different facets of computer vision such as image and object detection, tracking and motion analysis and their applications with examples. The author starts with an introduction to computer vision followed by setting up…"
Agile Project Management with Azure DevOps,Sunila Gollapudi,http://www.allitebooks.com/wp-content/uploads/2019/04/Agile-Project-Management-with-Azure-DevOps.jpg,"Roll up your sleeves and jump into Agile project management to use and customize Microsoft Azure DevOps. Organizations adopt Agile practices because they are a key enabler to run better projects, get more successful end results, and achieve an overall higher quality output. To benefit the most from…"
Adobe Analytics For Dummies,Joachim Rossberg,http://www.allitebooks.com/wp-content/uploads/2019/04/Adobe-Analytics-For-Dummies.jpg,"Use Adobe Analytics as a marketer —not a programmer! If you’re a marketer in need of a non-technical, beginner’s reference to using Adobe Analytics, this book is the perfect place to start. Adobe Analytics For Dummies arms you with a basic knowledge of the key features so that you can…"
OCA Oracle Database 11g,David Karlins,http://www.allitebooks.com/wp-content/uploads/2019/04/OCA-Oracle-Database-11g-400x494.jpg,The Oracle Database 11g: SQL Fundamentals I exam is the first stepping stone in getting the Oracle Certified Associate Certification for Oracle Database 11g. The SQL programming language is used in every major relational database today and understanding the real world application of it is the key to…
Windows Server 2019 & PowerShell All-in-One For Dummies,Eric Matisoff,http://www.allitebooks.com/wp-content/uploads/2019/04/Windows-Server-2019-PowerShell-All-in-One-For-Dummies.jpg,"Your one-stop reference for Windows Server 2019 and PowerShell know-how Windows Server 2019 & PowerShell All-in-One For Dummies offers a single reference to help you build and expand your knowledge of all things Windows Server, including the all-important PowerShell framework. Written by an information security pro and professor who…"
Jakarta Struts Pocket Reference,Brian Keeton,http://www.allitebooks.com/wp-content/uploads/2019/04/Jakarta-Struts-Pocket-Reference.jpg,"Web tier frameworks have soared in popularity over the past year or so due to the increasing complexity of Java itself, and the need to get more work done with fewer resources. Developers who used to spend hours and hours writing low-level features can use a well-written framework…"
Design – Build – Run,Chuck Cavaness,http://www.allitebooks.com/wp-content/uploads/2019/04/Design-Build-Run.jpg,"This unique and critical book shares no-fail secrets for building software and offers tried-and-true practices and principles for software design, development, and testing for mission-critical systems that must not fail. A veteran software architect walks you through the lifecycle of a project as well as each area of…"
